자치구,방범용cctv,경찰서,소음진동 민원,의료기관수,소음민원_s,의료기관_s,치안방범_s,인구대비소음진동,인구대비cctv,인구대비경찰서,인구대비의료기관,p_소음민원_s,p_의료기관_s,p_치안방범_s,score,p_score
강남구,3297,23,-4928.0,2647,0.0,0.9999999999999998,1.0,-0.008736807916455692,0.021539868683239146,0.00015202591050300746,0.017496199352237424,0.0,0.9999999999999999,1.0,1.9999999999999998,2.0
강동구,810,17,-1070.7777777777776,792,0.894509005643021,0.20692603676784949,0.3262310661613732,-0.0023866991537112017,0.006442632730165042,0.00013473777650965753,0.006277195235038163,0.873035471507444,0.33537946269548213,0.5592950584886572,1.4276661085722437,1.7677099926915831
강북구,633,15,-1250.2222222222224,463,0.8528949470483651,0.06626763574176997,0.22403820206262978,-0.003819254364241461,0.0027642042104987358,6.55967114182009e-05,0.0020247518257751345,0.6760827010252585,0.08346216290693328,0.1906022909670118,1.1432007848527648,0.9501471548992035
강서구,807,13,-868.6666666666665,840,0.941379576902265,0.22744762719110728,0.1877368563081508,-0.0014632102563515168,0.002618251189892966,4.32053016228576e-05,0.002791727181784645,1.0,0.128898243318821,0.09689696926624226,1.356564060401523,1.2257952125850633
관악구,1998,20,-2522.444444444445,697,0.5578602901388853,0.16631038905515177,0.6526967887271063,-0.004975325872667601,0.005619320562832047,5.692329585883023e-05,0.0019837768606802333,0.517141890377013,0.08103478138243078,0.2258805093852406,1.3768674679211435,0.8240571811446844
광진구,894,13,-1665.888888888889,554,0.756499780978639,0.10517315091919621,0.20406894205160095,-0.0046424280706969375,0.0025685817061818347,3.7551199616400056e-05,0.0016002588144219715,0.5629098607167272,0.05831494214292283,0.07292022812187846,1.0657418739494362,0.6941450309815286
구로구,1601,17,-1043.3333333333333,561,0.9008735087222037,0.10816588285592132,0.4747216388403281,-0.0025071533972569338,0.003970645496504294,4.2819540823394584e-05,0.0014130448471720211,0.8564749949489967,0.04722427436129494,0.12858952354133363,1.4837610304184532,1.0322887928516253
금천구,790,13,-739.8888888888888,357,0.9712437836584298,0.020949123557075677,0.18454552920885595,-0.0031372387173419056,0.0018124753365697873,2.936857562408223e-05,0.0008065062690613352,0.7698486307302275,0.011292564962789284,0.02140116963780651,1.1767384364243614,0.8025423653308232
노원구,871,18,-948.0,728,0.9229817825762066,0.17956391620350576,0.3721650573148268,-0.001679141554821315,0.0027290045243197852,5.733323990138683e-05,0.002318811036011645,0.9703129993491136,0.10088240700927001,0.15647946978094612,1.4747107560945392,1.22767487613933
도봉구,358,10,-615.8888888888888,369,1.0,0.026079521162890112,0.0,-0.0017731074964413094,0.0010547621923733034,2.999742022186092e-05,0.001106904806186668,0.9573942284724402,0.029088354594745604,0.005305633976478243,1.0260795211628901,0.9917882170436639
동대문구,992,21,-1627.5555555555554,610,0.7653894715143396,0.129115006412997,0.4983280731189356,-0.004577937193001932,0.0018243611057982315,3.940664846454809e-05,0.001144669312541635,0.5717762952802912,0.03132554661664708,0.06209301665258429,1.3928325510462722,0.6651948585495225
동작구,1255,18,-1430.5555555555554,578,0.8110747507021567,0.11543394613082514,0.44425150473419295,-0.003573658613708016,0.002597284337444148,3.749750016665555e-05,0.0012040863942403839,0.7098480757421668,0.03484545019731778,0.07340968666679576,1.3707602015671747,0.8181032126062804
마포구,1077,16,-1752.111111111111,731,0.736504419078049,0.18084651560495935,0.3418709155119616,-0.0046036322012876505,0.0034706892717997636,5.171349431313167e-05,0.0023626602714312034,0.5682436544213313,0.1034800620328796,0.15209439087475354,1.25922185019497,0.8238181073289644
서대문구,1865,13,-1293.111111111111,437,0.8429488005359582,0.05515177426250534,0.3863500369583837,-0.004145054541765966,0.00497231235186375,3.47561057120323e-05,0.0011683398612429318,0.6312905372640533,0.03272780412825909,0.12076045045248085,1.2844506117568473,0.7847787918447932
서초구,1045,21,-1767.111111111111,1227,0.733025844520601,0.39290294997862335,0.5082775046637961,-0.003982335298108997,0.002251257580490537,4.5835015769428045e-05,0.002678074492813724,0.6536617559182673,0.12216538981231798,0.0984590462426413,1.6342062991630204,0.8742861919732265
성동구,1544,16,-1031.2222222222224,445,0.9036821355871061,0.058572039333048304,0.4295385481808262,-0.0034251294600031166,0.0025864856126737797,2.7036343604890875e-05,0.0007519483065110275,0.7302683905087622,0.008060518516809605,0.031041800601691132,1.3917927231009806,0.769370709627263
성북구,1401,26,-1596.666666666667,529,0.772552758380788,0.09448482257374946,0.7475214417289483,-0.0035383053689019457,0.003463560916397402,6.393484547439655e-05,0.0013008282021521453,0.7147085652080585,0.040576492960334117,0.20110574223875224,1.6145590226834856,0.9563908004071449
송파구,549,21,-1546.666666666667,1167,0.7841480069056147,0.36725096194955104,0.4151658434137814,-0.0023335330918126587,0.0023469863242090144,9.020231089729822e-05,0.005012671277007001,0.88034493023516,0.26046830448201025,0.27937484204750074,1.5665648122689473,1.420188076764671
양천구,1491,17,-1386.888888888889,629,0.8212012677471721,0.13723813595553652,0.45407187525665543,-0.0029089496883145005,0.004054076100256133,4.623610876908599e-05,0.0017107360244561817,0.8012346160012545,0.06485967837136189,0.14439091692442416,1.4125112789593641,1.0104852112970404
영등포구,964,16,-1142.888888888889,764,0.8777860805483264,0.1949551090209491,0.32065797655782524,-0.0030594569133821524,0.002433096165349581,4.040781588178694e-05,0.0019294732083553262,0.7805423489690556,0.07781780042683528,0.08108653028348768,1.3933991661271008,0.9394466796793786
용산구,1522,13,-782.6666666666665,308,0.961323404364967,0.0,0.3219603196020227,-0.0033802829878476805,0.0030321322344344236,2.5995112918771272e-05,0.0006158842137678116,0.7364340425356017,0.0,0.03780628368831429,1.2832837239669896,0.774240326223916
은평구,1475,22,-2274.555555555556,665,0.6153469556030817,0.1526293287729799,0.6234820663842968,-0.004626783705241219,0.00339900126972861,5.106469897359955e-05,0.0015435465826110772,0.5650607035577504,0.054955275493000576,0.14772095735191068,1.3914583507603584,0.7677369364026617
종로구,1145,26,-781.6666666666665,497,0.9615553093354635,0.0808037622915776,0.6994638101160375,-0.005058997183788944,0.0021111283197262354,4.769163323666606e-05,0.000911643912254732,0.505638461808193,0.017520982046886964,0.10248655577797704,1.7418228817430785,0.6256459996330571
중구,604,20,-764.6666666666665,562,0.9654976938339046,0.10859341598973918,0.391007966584928,-0.006064153135991937,0.0009060430370442596,2.958750578805582e-05,0.0008314089126443686,0.3674460570074308,0.012767812514671843,0.0,1.4650990764085718,0.3802138695221027
중랑구,657,18,-1379.5555555555554,513,0.8229019041974801,0.08764429243266353,0.33199188088840914,-0.003356280713306966,0.0015365797185509843,4.1278060481531506e-05,0.001176424723723648,0.7397339603565127,0.03320675623397488,0.06255042466470054,1.2425380775185526,0.8354911412551881
