,자치구,보행안전,주차시설,대중교통,보행안전_s,주차시설_s,대중교통_s
0,강남구,1.1354277297498574e-05,0.0003085281811695089,0.6354387761697822,0.04714045466074149,0.06483693447063335,0.1954921337691148
1,강동구,1.311725033079779e-05,0.0003176117431495619,0.37306407137323866,0.09226104353453482,0.07119109674335825,0.08568375249167018
2,강북구,1.7773304369429916e-05,0.000380310491345866,0.48259895620006427,0.21142560027091087,0.11505032522783312,0.13152600853373778
3,강서구,1.0544174005907442e-05,0.00021645972598665755,0.40500404509652377,0.02640710430609286,0.0004329148013005324,0.0990511874939039
4,관악구,1.1997744424048279e-05,0.0002533523697544862,0.20295959652159043,0.06360900813402806,0.026240174738029476,0.014492068651592346
5,광진구,1.7674683364166785e-05,0.0003976092215739291,0.5595173772436995,0.20890154701045313,0.1271511882177682,0.16371770670741703
6,구로구,1.504927901166565e-05,0.0003130348395727185,0.5548181763524729,0.1417083522314119,0.06798944654294772,0.16175100933251857
7,금천구,2.5557321420901165e-05,0.0006348524547914609,0.772134176325107,0.41064556934143137,0.2931083320431157,0.2527015382761857
8,노원구,1.0921271145889042e-05,0.00021786247079685873,0.4060029685164655,0.036058326813309366,0.0014141673287577372,0.09946925433403236
9,도봉구,1.8988367000437963e-05,0.00034137064212477725,0.3006447727583232,0.24252326336279936,0.08781099759737485,0.05537501537343972
10,동대문구,1.6031473682386175e-05,0.0004078637989104375,0.40043581391113414,0.16684611729902424,0.13432450289074202,0.09713930322076955
11,동작구,1.5733793308970788e-05,0.00032098958741094496,0.4061985859838849,0.1592274450385999,0.07355397714379508,0.09955112364938262
12,마포구,1.708396273076049e-05,0.00042215300707153073,1.136964519972523,0.1937829590707881,0.1443201353974298,0.4053893879219125
13,서대문구,2.020058371606706e-05,0.0004166168385601671,0.7948451578812916,0.27354808961863997,0.14044745712786963,0.2622064794016664
14,서초구,1.4414171846638783e-05,0.00033470589054513885,1.0351223715040916,0.12545375914194737,0.0831488492972457,0.36276667595809153
15,성동구,2.037296145754747e-05,0.00041809438031965276,1.0763800788503994,0.27795983333645247,0.14148103185605623,0.3800337446811596
16,성북구,1.2425166610188637e-05,0.00029707443804360105,0.5676944185120404,0.07454822295587152,0.05682477551669607,0.16713994082107386
17,송파구,9.512383110859946e-06,0.00021584085472386722,0.3385451475435241,0.0,0.0,0.07123698197650313
18,양천구,1.2550063841629108e-05,0.00023746903408160814,0.16833243791931882,0.07774477589505877,0.015129413065543135,0.0
19,영등포구,1.5176322760676462e-05,0.0003530262893074919,1.151412807759582,0.14495984199321207,0.09596439312164534,0.4114362478711515
20,용산구,2.7157038527135174e-05,0.0006489701316307343,1.0077160109629064,0.45158787333667827,0.302983974412004,0.3512966369919983
21,은평구,1.2082527831477901e-05,0.00023540097326844877,0.39320745470445606,0.0657789093166867,0.01368275656388282,0.0941141090642188
22,종로구,3.9064049177077135e-05,0.0012591711282966488,2.55771931116373,0.7563295353497959,0.7298337234760888,1.0000000000000002
23,중구,4.8584857059070626e-05,0.0016453860237297,2.3581802239117726,0.9999999999999999,1.0,0.9164894184837408
24,중랑구,1.538984673123182e-05,0.0002984773875042505,0.3386665801138542,0.15042466029057347,0.05780617120188811,0.07128780362103876
