,자치구,1인당_공원면적_scaled,1인당_교육_scaled,1인당_청결심각수준_scaled
0,종로구,1.0,0.2072739302711083,-0.9999999999999999
1,중구,0.28865979381443296,0.7525968981103683,-0.9976375949187429
2,용산구,0.05596465390279822,0.08298488169014806,-0.4888239877609959
3,성동구,0.09572901325478644,0.12226743695247055,-0.3680050543126576
4,광진구,0.08394698085419733,0.08554803002930722,-0.1830949523323023
5,동대문구,0.0,0.05674150134664735,-0.2400412947352907
6,중랑구,0.13843888070692195,0.09069171012723631,-0.2101507778509927
7,성북구,0.21796759941089838,0.09754794545820278,-0.21746071474292275
8,강북구,0.6126656848306332,0.0,-0.24001869759936936
9,도봉구,0.39027982326951394,0.08763675117619174,-0.17419167908674008
10,노원구,0.3416789396170839,0.044066312171999855,-0.024158712276513616
11,은평구,0.3740795287187039,0.20530925605582973,-0.07047132271779102
12,서대문구,0.18262150220913106,0.1152186735396602,-0.27185566061237976
13,마포구,0.11782032400589101,0.38693232854702186,-0.20579329190439796
14,양천구,0.041237113402061855,0.2572555858829413,-0.053371022270563145
15,강서구,0.05596465390279822,0.3308616437340842,-0.015911563785773047
16,구로구,0.06038291605301913,0.29053899946741535,-0.191819752042489
17,금천구,0.0780559646539028,0.29420544129333903,-0.4910075174349374
18,영등포구,0.06038291605301913,0.4742674052602627,-0.2604502745791374
19,동작구,0.11340206185567009,0.005630814366529235,-0.09258006146773015
20,관악구,0.26067746686303384,0.056967007947398174,-0.08327475643003665
21,서초구,0.4933726067746686,0.597905018810944,-0.09962237413586847
22,강남구,0.1251840942562592,1.0,-0.057849669967425826
23,송파구,0.04860088365243003,0.2518863152470655,-0.0
24,강동구,0.06185567010309278,0.0752780496903599,-0.14230316835656706
